dev_document_len,dev_overlap_len,merge_strategy,load_bert,freeze_bert,add_cr_to_coarse,filter_by_cr,remove_singleton,dev_lea,movie,best_epoch
512,512,avg,True,False,True,False,False,16.4,2,6.5
512,1024,avg,True,False,True,False,False,14.8,1,14.0
512,2048,avg,True,False,True,False,False,17.5,2,8.0
512,2048,avg,True,True,True,False,True,51.6,1,3.0
512,2048,min,True,False,True,False,True,66.6,1,1.0
512,2048,none,True,False,True,False,True,66.3,1,1.0
512,2048,post,True,False,True,False,True,66.6,1,1.0
512,3072,avg,True,False,True,False,False,19.0,1,13.0
512,3072,avg,True,True,True,False,True,39.9,1,9.0
1024,512,avg,True,False,True,False,False,17.966666666666665,3,7.666666666666667
1024,512,avg,True,True,True,False,True,44.7,1,9.0
1024,2048,avg,True,False,True,False,False,16.8,3,6.666666666666667
2048,512,avg,True,False,True,False,False,16.6,2,9.0
2048,1024,avg,True,False,True,False,False,16.0,1,9.0
2048,1024,avg,True,True,True,False,True,75.9,1,10.0
2048,2048,avg,False,False,True,False,True,54.849999999999994,2,17.5
2048,2048,avg,True,False,True,False,False,17.419999999999998,5,6.8
2048,2048,avg,True,True,True,False,True,67.55,2,4.0
2048,3072,avg,True,False,True,False,False,19.166666666666668,3,4.0
3072,512,avg,True,False,True,False,False,16.2,1,2.0
3072,1024,avg,True,False,True,False,False,15.8,2,7.5
3072,2048,avg,True,False,True,False,False,20.7,1,3.0
3072,2048,avg,True,True,True,False,True,76.1,2,9.0
3072,3072,avg,False,False,True,False,True,57.2,1,19.0
3072,3072,avg,True,False,True,False,False,19.8,1,5.0
3072,3072,avg,True,True,True,False,True,54.5,1,2.0
5120,512,avg,False,False,True,False,True,54.88616666666667,6,18.333333333333332
5120,512,avg,True,False,False,False,True,60.170500000000004,6,7.0
5120,512,avg,True,False,True,False,True,58.4578,5,10.0
5120,512,avg,True,False,True,True,True,60.69716666666667,6,10.166666666666666
5120,512,avg,True,True,True,False,True,58.82175,4,14.0
5120,512,max,True,False,True,False,True,60.50033333333332,6,10.333333333333334
5120,512,min,True,False,True,False,True,58.526199999999996,5,7.8
5120,512,none,True,False,True,False,True,58.7598,5,8.4
5120,512,post,True,False,True,False,True,58.5336,5,7.8
5120,512,pre,True,False,True,False,True,60.29533333333333,6,9.166666666666666
5120,1024,avg,False,False,True,False,True,64.26266666666668,6,17.666666666666668
5120,1024,avg,True,False,False,False,True,69.6535,6,8.166666666666666
5120,1024,avg,True,False,True,False,True,69.993,5,7.8
5120,1024,avg,True,False,True,True,True,70.444,6,8.333333333333334
5120,1024,avg,True,True,True,False,True,64.9254,5,11.6
5120,1024,max,True,False,True,False,True,70.1534,5,7.2
5120,1024,min,True,False,True,False,True,69.9752,5,8.0
5120,1024,none,True,False,True,False,True,70.29333333333334,6,8.0
5120,1024,post,True,False,True,False,True,70.46466666666667,6,8.5
5120,1024,pre,True,False,True,False,True,70.54066666666667,6,7.833333333333333
5120,2048,avg,False,False,True,False,True,68.80775,4,15.0
5120,2048,avg,True,False,False,False,True,72.3092,5,9.8
5120,2048,avg,True,False,True,False,True,71.08250000000001,4,9.0
5120,2048,avg,True,False,True,True,True,73.0986,5,8.0
5120,2048,avg,True,True,True,False,True,65.46966666666667,3,11.0
5120,2048,max,True,False,True,False,True,73.0692,5,8.6
5120,2048,min,True,False,True,False,True,73.0832,5,8.0
5120,2048,none,True,False,True,False,True,72.7742,5,8.8
5120,2048,post,True,False,True,False,True,72.8252,5,8.6
5120,2048,pre,True,False,True,False,True,73.5298,5,10.0
8192,2048,avg,False,False,True,False,True,71.87719999999999,5,15.6
8192,2048,avg,True,False,False,False,True,75.70316666666666,6,7.666666666666667
8192,2048,avg,True,False,True,False,True,75.57860000000001,5,5.4
8192,2048,avg,True,False,True,True,True,75.52033333333334,6,6.333333333333333
8192,2048,avg,True,True,True,False,True,66.1608,5,11.8
8192,2048,max,True,False,True,False,True,75.35416666666667,6,7.166666666666667
8192,2048,min,True,False,True,False,True,75.37783333333333,6,6.166666666666667
8192,2048,none,True,False,True,False,True,75.50516666666667,6,7.333333333333333
8192,2048,post,True,False,True,False,True,75.61283333333334,6,7.833333333333333
8192,2048,pre,True,False,True,False,True,75.51316666666666,6,6.333333333333333
8192,3072,avg,False,False,True,False,True,73.61319999999999,5,16.2
8192,3072,avg,True,False,False,False,True,75.78566666666667,6,8.166666666666666
8192,3072,avg,True,False,True,False,True,77.00800000000001,5,8.4
8192,3072,avg,True,False,True,True,True,76.5565,6,8.833333333333334
8192,3072,avg,True,True,True,False,True,70.47633333333333,3,10.333333333333334
8192,3072,max,True,False,True,False,True,76.6798,5,6.8
8192,3072,min,True,False,True,False,True,76.3846,5,6.6
8192,3072,none,True,False,True,False,True,77.3344,5,8.6
8192,3072,post,True,False,True,False,True,76.55,5,6.2
8192,3072,pre,True,False,True,False,True,76.5872,5,7.0
